ID,Name,Dimension,Price,Type,SubType,Brand,ProductURL
A-0024,"Callas Wooden Bookshelf with Display Unit Cabinet | Engineered Wood Bookcase for Living Room, Bedroom, Office | Modern Display Shelf Organizer for Books & Décor - Gifting (BR-22-Walnut)",30D x 30W x 40H Centimeters Style,4429,Storage,bookshelf,,https://www.amazon.in/dp/B0FT3LZLSM
A-0025,"Lukzer 8-Shelf Modern Engineered Wood Bookcase with Storage, Display Rack & Open Bookcase – DIY Bookshelf for Living Room, Bedroom, Office, Study, Hallway – Oak Brown, 164 x 24 x 70 cm (MR-004)",164D x 70W x 24H Centimeters Style,3820,Storage,bookshelf,,https://www.amazon.in/dp/B0DXBSHN5B
A-0026,WoodMarwar Sheesham Wood Free Standing Book Shelf | Multipurpose Bookshelf Storage Display Rack with 8 Shelf & 2 Drawer with Lock for Ofice | Decorative Corner Shelf Bookcase for Home Decor | Pine,53D x 21W x 147H Centimeters Style,9054,Storage,bookshelf,,https://www.amazon.in/dp/B0CQM7M4DX
A-0027,"Tribesigns 5-Tier Bookshelf, Vintage Industrial Style Bookcase 72 H x 12 W x 47L Inches, Black",120D x 32W x 182.9H Centimeters Style,9349,Storage,bookshelf,,https://www.amazon.in/dp/B07H8DY8PG
A-0028,"BLUEWUD Alex Multi Layer Wide & Narrow Design Bookshelf Filing Cabinet Books Rack Organizer for Décor Display Wall Mount Floor Standing for Home Library (Brown Maple, Alex-5 Layer)",27.5D x 80W x 165.3H Centimeters Style,5849,Storage,bookshelf,,https://www.amazon.in/dp/B0CJRPVG58
A-0029,Miniture Carrot-Themed Kids Front-Facing Bookshelf | Book Storage Rack | Kids Bookshelf | Perfect for Home Play Schools & Kindergarten| Book Storage Rack for Toddlers,36.5D x 71W x 66H Centimeters Style,3299,Storage,bookshelf,,https://www.amazon.in/dp/B0CX98DC34
A-0030,"Bniture Book Shelf for Home, Engineered Wood Bookshelf Multipurpose Study Room Home Decor Storage Rack Showcase Organizer for Living Room, Bedroom, Office (BS125) (Frosty White)",40D x 75W x 180H Centimeters Style,6700,Storage,bookshelf,,https://www.amazon.in/dp/B0DF2VTQ31
A-0031,"EVETO Table Top Bookshelf - Countertop Bookcase with 4 Shelves, DIY Engineered Wood Multipurpose Storage Organizer Table Shelf Book Rack for Home Study Room (Wood Accent)",20D x 45W x 31H Centimeters Style,949,Storage,bookshelf,,https://www.amazon.in/dp/B0DYZXSZXK
A-0032,SHRI MINTU'S ART Solid Sheesham Wood Corner Ladder Shelf for Living Room | Floor Standing Shelf | Wooden 3 Tier Ladder Shelves for Bedroom | Decorative Corner Home Decor Bookcase | Brown Finish,37D x 37W x 81H Centimeters Style,3519,Storage,bookshelf,,https://www.amazon.in/dp/B0BFFY3S4S
A-0033,"Amazon Brand - Solimo Bookshelf for Wall with Metal Brackets | Home Decorative Wall Shelf | Wall Hanging Shelf for Books, Living Room, Bedroom, Study Room | Coachwood Yellow | Pack of 3 | 50 x 20 CM",20D x 50W x 30H Centimeters Style,899,Storage,bookshelf,,https://www.amazon.in/dp/B0FK2LNY36
A-0034,"STAR WORK Black Adjustable Set of 5-Shelf Metal Storage Shelving Unit, Steel Bootless Rivet Utility Display Rack Garage Shelves, 63 Inches Height(63 X 24 X 12 Inch-H X W X D,Black)",7.5D x 33W x 92H Centimeters Style,2749,Storage,bookshelf,,https://www.amazon.in/dp/B09SZGXHN3
A-0035,"Enigmatic Woodworks Wooden Book Shelf for Home, Office Table, Living Room. Kitchen Corner Stand, Standing Book Rack for Library, DIY Bookshelves, Storage Organizer, Bedroom Accessories. (L Shape)",35D x 15W x 11H Centimeters Style,949,Storage,bookshelf,,https://www.amazon.in/dp/B0DGY3CSGH
A-0036,Wakefit Huxley 3 Big Shelves Bookshelf - Wood Shutter - Moldau Acacai Carcass + White Shutters,30D x 78.7W x 103H Centimeters Style,6997,Storage,bookshelf,,https://www.amazon.in/dp/B0F9Y4F7ZZ
A-0037,"Engineered Wood Book Rack for Study Room, Book Organizer Stand for Bedroom, Living Room, Office | Desktop Wooden Bookshelf, Small Table Top Book Organizer with 2 Compartments, Dark Brown",21D x 46W x 25H Centimeters Style,649,Storage,bookshelf,,https://www.amazon.in/dp/B0FLS7QQL4
A-0038,"ECOLINE Book Shelf for Home Library with Assembly | Laminated Engineered Wood Storage Rack for Living Room, Office, Kitchen, Bedroom (White, 6 Layer)",24D x 33W x 90H Centimeters Style,2399,Storage,bookshelf,,https://www.amazon.in/dp/B0G361JM3Z
A-0039,SHRI MINTU'S ART Sheesham Wood Corner Ladder Shelf for Living Room | Floor Standing Shelf | Wooden 5 Tier Ladder Corner Shelf for Office & Bedroom | Decorative Corner Home Decor Bookcase | Brown,36D x 95W x 186H Centimeters Style,16501,Storage,bookshelf,,https://www.amazon.in/dp/B0C942SHCX
A-0040,"GHROYAL Solid Sheesham Wood Bookshelf with Open Shelf Storage Wooden Showcase Display Unit Book Stand for Home, Office, Living Room (Honey Finish)",32D x 89W x 175H Centimeters Style,16999,Storage,bookshelf,,https://www.amazon.in/dp/B0DDCL51M1
A-0041,Lukzer 3 Layer Engineered Wood Multipurpose Rack Bookshelf Storage Organizer Stand (MR-010/White/80x33x22cm) - Modern White Bookshelf Storage for Home Organization,22D x 33W x 80H Centimeters Style,998,Storage,bookshelf,,https://www.amazon.in/dp/B0CXLZHRGK
A-0042,"HOME CUBE 2-Tier Metal Storage Shelf with Wooden Shelves, Kitchen Countertop Organizer Rack, Microwave Stand, Standing Shelf Units, Multipurpose Storage Rack for Living Room, Office, Garage, Shops",60D x 40W x 52.5H Centimeters Style,2599,Storage,bookshelf,,https://www.amazon.in/dp/B0FJ5NVBJX
A-0043,"Tribesigns 5-Tier Bookshelf, Vintage Industrial Style Bookcase 70 ‘’ H x 12’’ W x 47’’L, Gold",30.5D x 119.4W x 182.9H Centimeters Brand,9349,Storage,bookshelf,,https://www.amazon.in/dp/B07V26M4ZC
A-0044,"Snazzy Plastic Multipurpose Foldable Open Bookshelf, Book Shelves, Bookcase, Bookrack, Book Storage Organizer Shelf for Study Room Home Office Library (Black)",30D x 105W x 109H Centimeters Style,1448,Storage,bookshelf,,https://www.amazon.in/dp/B08P8QHT2Y
A-0045,"The Attic Sheesham Mini Glazed Bookcase Walnut, Multipurpose for Living Room Bed Room Study, Solid Wood, Walnut Matte Finish",28D x 60W x 110H Centimeters Special Feature,11399,Storage,bookshelf,,https://www.amazon.in/dp/B07N8ZW4LP
A-0046,"Enigmatic Woodworks Wooden Book Shelf for Home, Office Table, Living Room. Kitchen Corner Stand, Standing Book Rack for Library, DIY Bookshelves, Storage Organizer, Bedroom Accessories. (H Walnut)",35D x 15W x 11H Centimeters Style,949,Storage,bookshelf,,https://www.amazon.in/dp/B0FD7N7GZ6
A-0047,Furnilife Bookcase Storage Cabinet Wooden White Bookshelf with Doors and Drawers Home Office Book Shelves Display Rack for Living Room Bedroom Study Tall Book Shelf Organizer-White,25D x 33W x 149H Centimeters Style,7999,Storage,bookshelf,,https://www.amazon.in/dp/B0CRDM9K98
A-0048,"Studio Kook Libro Bookcase/Bookshelf (Junglewood, 5 Shelves)",24.5D x 180W x 96H Centimeters Style,7730,Storage,bookshelf,,https://www.amazon.in/dp/B0CK639TSN
A-0049,Studio Kook Vista Engineered Wood Corner Bookshelf | Bookcase (Matte Finish) (Moonshine White),47D x 47W x 181H Centimeters Style,8989,Storage,bookshelf,,https://www.amazon.in/dp/B0DFH6DQ2Y
A-0050,"Hoss® Sound Bar Stand Wall Mount - Universal Dual Bracket for Most Soundbars, Holds up to 15 kg, Depth Adjustable 3.5”-6.1” - Speaker Stand Black",16.6 x 3.9 x 7.2 cm; 700 g Item model number,898,Storage,bookshelf,,https://www.amazon.in/dp/B0CW9KZJQB
A-0051,EVETO Wooden Table Top Bookshelf for Home Office and Living Room Tabletop Stand Display Rack Storage Organizer for Kitchen Bedroom Library Space Saving Standing Bookcase (Wenge),15.2D x 59.9W x 35.6H Centimeters Style,648,Storage,bookshelf,,https://www.amazon.in/dp/B0GBRFLWBK
